ISS.EarthMJ2000Eq.X       ISS.EarthMJ2000Eq.Y       ISS.EarthMJ2000Eq.Z       ISS.EarthMJ2000Eq.VX      ISS.EarthMJ2000Eq.VY      ISS.ElapsedSecs           Spacecraft1.EarthMJ2000Eq.X   Spacecraft1.EarthMJ2000Eq.Y   Spacecraft1.EarthMJ2000Eq.Z   Spacecraft1.EarthMJ2000Eq.VX   Spacecraft1.EarthMJ2000Eq.VY   Spacecraft1.EarthMJ2000Eq.VZ   Spacecraft1.ElapsedSecs   Spacecraft2.EarthMJ2000Eq.X   Spacecraft2.EarthMJ2000Eq.Y   Spacecraft2.EarthMJ2000Eq.Z   Spacecraft2.EarthMJ2000Eq.VX   Spacecraft2.EarthMJ2000Eq.VY   Spacecraft2.EarthMJ2000Eq.VZ   Spacecraft2.ElapsedSecs   Spacecraft3.EarthMJ2000Eq.X   Spacecraft3.EarthMJ2000Eq.Y   Spacecraft3.EarthMJ2000Eq.Z   Spacecraft3.EarthMJ2000Eq.VX   Spacecraft3.EarthMJ2000Eq.VY   Spacecraft3.EarthMJ2000Eq.VZ   Spacecraft3.ElapsedSecs   
-3330.889812739016        2657.982569408536         5261.023265724859         -5.454295642982319        -5.340566916991772        1496.136158227455         -4728.405070314564            -867.6194615453134            4845.0680133044               -1.629144501593799             -6.924885786940294             -2.738741911961565             1496.136158227455         -3442.692791806575            2519.174630144099             5257.81574641692              -5.299020174207108             -5.480689486128301             -0.8502605165861016            1496.136158227455         2568.485947085429             -6301.581701490321            -2058.574693367468            3.472446606431463              3.275228375146541              -5.699193557556156             1496.136158227455         
-4155.464319922417        1750.945369326581         5050.631970285276         -4.673660321856306        -5.800291369149559        1658.50868106354          -4913.824662123494            -1971.622324092234            4323.013808043492             -0.6490593144369537            -6.636360290451559             -3.673317648248467             1658.50868106354          -4240.313015901112            1591.850021796276             5031.760944962621             -4.497794728363925             -5.909384267278663             -1.926397889956541             1658.50868106354          3092.078751846309             -5680.384394987911            -2949.322313390767            2.961098320548792              4.357604573523764              -5.245622766116319             1658.50868106354          
-4839.979933636858        785.1330230494108         4669.752837058027         -3.735568783493355        -6.064752937439625        1820.850215898827         -4938.219135725204            -3010.84096338468             3659.013416758225             0.3488535557797451             -6.131747359163455             -4.48413529029653              1820.850215898827         -4894.97196822424             611.09456490235               4635.80102057663              -3.544555256583279             -6.139232483814527             -2.938076139781946             1820.850215898827         3525.313462380654             -4893.498642617281            -3753.58458961214             2.363085504097692              5.313123078837196              -4.638291150624784             1820.850215898827         
-5361.288970167188        -206.6334131006944        4131.459406640993         -2.671754769999508        -6.125068547569833        1983.112845697906         -4801.42137120599             -3951.304463475855            2875.559332060357             1.332305250212984              -5.428803430603458             -5.145842962230794             1983.112845697906         -5384.45283582603             -389.7652937846997            4083.453770702367             -2.47147326116652              -6.162318830883504             -3.850901410671309             1983.112845697906         3855.398126509944             -3964.112486907358            -4447.563997929582            1.69523909356029               6.114546339704183              -3.894249788083124             1983.112845697906         
-5701.980408493075        -1190.859162992691        3454.142355448947         -1.51809630631217         -5.979332065369615        2145.278160343878         -4508.522632277877            -4762.694263886688            1998.763826309566             2.269982721607875              -4.551193416561016             -5.638172541124813             2145.278160343878         -5692.331246510887            -1376.90178548401             3393.541207725944             -1.314743987655351             -5.977815316687221             -4.633948351739662             2145.278160343878         4072.569827734607             -2919.403301753522            -5010.757374052933            0.9761823940434491             6.738795255098625              -3.034119220153036             2145.278160343878         
-5850.821019668138        -2134.44059117606         2660.831672093996         -0.3134617719240529       -5.632592221172326        2307.340412784833         -4069.567529530979            -5419.099482914878            1057.500704892622             3.13233022557682               -3.52766406896131              -5.946289037899184             2307.340412784833         -5808.397648948267            -2317.063865081906            2589.503757520045             -0.1134216956291474            -5.591950026128975             -5.260702912529219             2307.340412784833         4170.267944308447             -1789.831245611979            -5426.377064650646            0.2259607377065453             7.1673136516418                -2.081654903273668             2307.340412784833         
-5803.065208308914        -3005.771630172027        1778.371406017413         0.9016044096443938        -5.096660886148272        2469.305265520234         -3499.14820673015             -5899.714180762222            82.46978696063763             3.892336721091242              -2.391121359437652             -6.061081677401701             2469.305265520234         -5728.944106762227            -3178.696070905559            1698.562029617779             1.091914799513386              -5.017792372899001             -5.709968807712269             2469.305265520234         4145.288991916491             -608.3358865753521            -5681.769485695741            -0.5343756422057462            7.386483480594966              -1.063258763126821             2469.305265520234         
-5560.545860834134        -3775.77919281518         836.4852329629711         2.086258007196902         -4.389693131993589        2631.189145613462         -2815.89067764189             -6189.368173112512            -894.751655664592             4.526232640402173              -1.177646239306184             -5.979308718815154             2631.189145613462         -5456.829148782946            -3932.981698081201            750.7663250736763             2.2605623197787                -4.274797176728007             -5.96659585753222              2631.189145613462         3997.872834506935             590.5078915614146             -5768.746451186303            -1.283201961355424             7.38799930745293               -0.007461518859956419          2631.189145613462         
-5131.551512833427        -4418.848334114317        -133.2245838982384        3.200732136304601         -3.535552541716107        2793.017424771097         -2041.859933830945            -6278.888891229271            -1842.638101033313            5.014082463785601              0.07451690005176419            -5.703603444003146             2793.017424771097         -5001.325978809611            -4554.769392210607            -222.0222717759671            3.353093660984781              -3.388122003338761             -6.021989515822426             2793.017424771097         3731.72325975112              1771.356355759804             -5683.828910286324            -1.998766678746326             7.169208969128972              1.055628519763261              2793.017424771097         
-4530.509484506394        -4913.618592459965        -1098.310681823935        4.207665160879449         -2.562988808202498        2954.821598622948         -1201.905595918583            -6165.309798450225            -2730.610829149909            5.340278215844528              1.325978919503702              -5.242360728014695             2954.821598622948         -4377.773898430604            -5023.363302823026            -1187.183459404433            4.332702907420141              -2.387747454068095             -5.874384258048387             2954.821598622948         3353.96794296442              2898.986004450621             -5428.410159073928            -2.659674284367094             6.73342666637004               2.094933413389557              2954.821598622948         
